id,username,location,tweet
924663697561309184,"UCHE, NWA IMUHU",River State ,"RT @ConnectOnitsha: ""They said I'm qualified to be the Vice President because of my knowledge of the economy. But Nigeria's problem is the…"
1189877330602274816,Chicaqo,"Ondo, Nigeria","RT @akureketical_: Nigeria problem is economy. So why do you want someone who has knowledge of the economy to be Vice? 

You want to use pe…"
429266312,Ejima🦅,Eden,"RT @ToyosiGodwin: Peter Obi is finally responding to Rabiu Kwankwaso. 

""Let people vote for the person who will solve their problems""

Ver…"
918545536613081089,General,"Lagos, Nigeria","RT @ChiagozieManuel: Even sowore follow listen to Peter obi 😂😂😂😂😂.
Peter obi na your mate.
#TheMorningShow https://t.co/kMvhlZE9QI"
967615594748104706,rosegold,,"RT @Odogwu_Nomso: Peter Obi on Arise TV

""This Election should not be based on MY TURN, ETHNICITY OR RELIGION, its should be based on COMPE…"
1129744810301100034,Sammy Jr,"Arhus, Denmark 🇩🇰","RT @Iamikkenna: ""They said I'm qualified to be the vice president because of my knowledge of the economy. But Nigeria problem is the econom…"
1494633995245654016,OG,,"RT @novieverest: Peter Obi has been supporting Umza Rice, the biggest rice processing factory in Kano state.

So we have been benefitting f…"
348387400,Chidera Peter Obi,Abuja to the World...,RT @lindaikeji: His comment is why we have over 100 million Nigerians living in poverty. We have consistently hired vehicle drivers to fly…
112411597,THISDAY LIVE,Nigeria,"Labour Party, NNPP Alliance Talks  Long Dead, Says Doyin Okupe The expected  alliance between former Anambra State governor, Peter Obi, and former Kano State governor, Rabiu Kwankwaso, may be very   impossibl https://t.co/P2TiGwe0ev https://t.co/gKzcIAC9ao"
948563809865781248,#LegedizeBenz#📌🎧 Enemona,Lagos Nigeria ,"RT @Sports_Doctor2: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, one of the biggest rice milling factory in Nigeria loca…"
1197110452658089986,Edozie_dozie,"Abuja, Nigeria","RT @jockfreshprince: ""If you're part of my team and you agree with me in 3 meetings....you're out. I need people who would say, You're wron…"
1154375311859101702,Patriotic Nigerian,,RT @JadayDavid: Peter Obi just said on Arise TV this morning that the Government in the last 10 years Privatized profit and socialize losse…
1250008112532250624,Erastohaniz,zion,Tundun @ARISEtv looked fascinated and raptured listening to Peter Obi this morning.  #PeterObiForPresident2023
744643170349293568,king beyond the Niger,Nigeria,"RT @Spotlight_Abby: Peter Obi on Arise TV: His thoughts on Ports Reform. You need to watch it. It is explosive and honest!

#NationalShutdo…"
276637313,Uchenna,"Lagos, Nigeria","Youth? I spoke to my dad yesterday and his reaction is different from 2 months ago. He says everybody has Peter Obi on their lips, biggest issue amongst them old folks is if they will be allowed to vote. https://t.co/1y1xrNZ1Zd"
1534715047347355649,Goodpikin,,RT @firstladyship: Peter Obi is Twitter President. The APC &amp; the PDP should leave Twitter for us. Please tell the APC &amp; PDP supporters to l…
1248146570635288576,Tobe🕊️,I'm Always Moving,RT @iamrheed: It's so easy to pick Peter Obi over these lots. None of them can even compete with him intellectually
972125444890923008,Obi Nicholas mmaduka,"Lagos, Nigeria","RT @Sports_Doctor2: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, one of the biggest rice milling factory in Nigeria loca…"
2418101433,Toni.,DEVIL'S ANUS: Nigeria.,"RT @Iamikkenna: ""They said I'm qualified to be the vice president because of my knowledge of the economy. But Nigeria problem is the econom…"
1429218664113446912,♔Arome ♔,"Ontario, CA","RT @iam_paulash: Omojuwa did strong thing to Goodluck Jonathan, but these generation won’t let him getaway with Peter Obi, if you sneeze th…"
1209528800465313795,Josh Ekwunife,"Rivers, Nigeria",RT @JadayDavid: Peter Obi just said on Arise TV this morning that the Government in the last 10 years Privatized profit and socialize losse…
1483478665228861442,christopher chidindu,,"RT @UchePOkoye: So you guys have heard it from Peter Obi, those who are asking why he didn't conduct local government elections can now see…"
2485113554,Big Jerris,🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,"RT @Princenechecfr: Peter Obi makes supporting him very easy.
Facts Choke, Track Records over choke."
299637151,DANNY,sadc,"RT @UchePOkoye: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, in Kano State in 2019.

This is the biggest rice milling fa…"
1393037869,🫥👐🫥,,"Since No one is asking Peter Obi the right question young Nigerian youths want, i will take it upon myself to do so. 

Sir(@PeterObi), is it only one black native you have? cos i know a good Tailor"
1531947088677937154,Success Eloka,,"@otitolomo @Atijohn @PeterObi @ARISEtv If you are true to yourself and conscience, you will know that Peter Obi is most qualified among the three strong contestants.If Nigeria is gud today is for everybody.d insecurity and hunger in Nigeria 2day don’t know APC,PDP or LP.Let’s be wise wit our choice"
1129744810301100034,Sammy Jr,"Arhus, Denmark 🇩🇰",RT @ChigozieIAlex: Peter Obi currently defending OBIdients on Arise TV with his full chest 🔥
1207665478908416000,20lenss,Nigeria,"RT @firstladyship: Morocco’s Tangier to Rabat, you see farmlands. In Nigeria u see vast land &amp; people looking for food. These people can be…"
709571629353967617,Adélolúwa,Washington DC and Nigeria,RT @OmoGbajaBiamila: I want somebody that is competent to be my VP. I want a team where members can look at me in the eyes and tell me I'm…
1304082325530181637,peterobiforpresident2023,Nigeria,RT @onyiforlife: @DavidHundeyin “We’re talking to a quite number of people and Baba-Ahmed is a capable hand and I wish he is the one..I pre…
1214597872706097161,Peter Obi is President 2023,Spirit!,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
1172515394801819650,Faith Ebuns,Nigeria,"RT @Danjay_P7: Have you noticed that the only Campaign slogan of APC is @PeterObi can not win? Reno... Peter Obi cannot win
Sega... Peter O…"
942395971270594560,Olusegun,United Kingdom,RT @blossommartins: If your candidate can’t sit with Arise Tv presenters and tackled national issues like PETER OBI Don’t you dare host any…
1100523919596052480,Jaynee,,"RT @novieverest: Peter Obi used all their criticisms against them.

They keep shouting he only knows about the economy. Nigerians say their…"
371459078,Greatness™,,"RT @Morris_Monye: Did I tell you I am an ADC member? Wtf! Did they tie me and him with umbilical cord? 

I only supported him because of hi…"
1489425352573259782,Juliurch,,"RT @von_Bismack: Atiku has a clear plan and a paper on what he intends to do

Peter Obi has been everywhere itemizing what he intends to do…"
1539104761802285057,Kelly,,"RT @UchePOkoye: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, in Kano State in 2019.

This is the biggest rice milling fa…"
59939312,Ari B,Abuja,RT @IamTheIroko: Peter Obi called Kwankaso big brother and then went ahead to school big brother.
1317398236487876609,Chinazam,Nigeria,"RT @UchePOkoye: Tinubu supporters constantly link Peter Obi to IPOB, but they won't dare link Boko Haram to Atiku or Bandit to Kwankwaso.…"
1291386118768865280,łeonard,Valhalla ,"RT @ToyosiGodwin: Peter Obi is finally responding to Rabiu Kwankwaso. 

""Let people vote for the person who will solve their problems""

Ver…"
329791282,BTR,"South Carolina, USA",RT @blossommartins: If your candidate can’t sit with Arise Tv presenters and tackled national issues like PETER OBI Don’t you dare host any…
359261604,Ikebaba007,"Jos, Nigeria","RT @Nedumcity_: Who else listened to President Peter Obi, The Next President of Nigeria?"
1309122509363609602,Omenyi Of Ebonyi,,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
1380053475606814720,Sunny Big of onitsha,,"RT @Sports_Doctor2: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, one of the biggest rice milling factory in Nigeria loca…"
1487827807979847683,The OUTSIDER🖤🦍🦍,,RT @Naija_PR: Fuel subsidy is a scam and I will remove it — Peter Obi
1535607098779770880,K e n d o,,"RT @kobokolaugh: Gospel according to Peter Obo continues. 
Thank you so much for the love and support so far.
God bless you all, the minist…"
1097865940132347904,Bin Bature,"Kano, Nigeria","RT @iamchrisani: Omo Peter Obi got our warning about not apologizing again , this lady on arisetv just asked him about his supporters that…"
1323699515472433159,PROF LATTE ™ #PeterObi4President2023,Global,"RT @shezdap101: @honilatte_ To be sincere I am feed up., at a time I was like if I'm this peter Obi sef, I'll just drop everything and move…"
1260683963628216321,Uzoh Ikenna,"Atani, Nigeria","RT @ConnectOnitsha: ""They said I'm qualified to be the Vice President because of my knowledge of the economy. But Nigeria's problem is the…"
537413511,Oluwafemi,,"RT @Makavelli275: After watching that Peter Obi’s interview this morning, I am now more willing, and prepared to financially support his ca…"
119150332,achebe chinedu,in my space .,"RT @AlRaheemmuhd: "" The vast land in The North should be farms, while Kano and Kaduna become a processing hubs and that's what I want to do…"
2376021502,Middle~child,,"RT @UchePOkoye: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, in Kano State in 2019.

This is the biggest rice milling fa…"
46667249,Bobby of House Stark,Nigeria,RT @ComrEkenemuse: “I am doing the ground work today because I don’t want to be president tomorrow and start giving excuses because the job…
1236210791063400448,Mr RECO,Lagos,"RT @vivadaraa: Peter obi is not the enemy of the North, APC is. Nothern Nigeria wake up from slumber #PeterObiForPresident2023"
2539120384,Emmanuel Louis,,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
448132654,Gerry,,"RT @Spotlight_Abby: So Obi merely ignored Kwankwaso, Buba Galadima etc while they clout-chased with his name for 4 weeks?

Peter Obi doesn'…"
63680988,Kiki,,RT @adaigbo_2022: Peter Obi was even requesting for investigative journalist to set up a panel and investigate his time as governor.
550201797,Otunba 🤴🏾,Twitter for algorithm,"RT @ChigozieIAlex: Rufai am building a team, that team has to be formidable full of competent people just like my team in Anambra. I want t…"
585300822,oluwe jackson,akoka,RT @FS_Yusuf_: Peter Obi is holding a masterclass on Arise TV ✊🏿
1544279577123504129,Recalibrate 9ja,Nigeria,"RT @ChiomaDPatrick: Peter Obi is not coming to share agbado. Listen to me, I know what I'm saying!!!!!"
176205058,Victor Onu Wokekoro,"Port Harcourt, Nigeria","RT @DeeOneAyekooto: ""IPOB is formed because of bad leadership. When I become President, I'll discuss with them.....""

Peter Obi on Arise TV…"
140028479,Joy Uche-Kalu,Abuja,RT @thekaysie: Peter Obi just dey burst my head for this arise tv interview I swear.
155467687,Success,Port Harcourt,RT @blossommartins: If your candidate can’t sit with Arise Tv presenters and tackled national issues like PETER OBI Don’t you dare host any…
611779374,Uti uzumaki/kenpachi 😎,,So nobody uploaded the video where Peter obi was defending obidients on arise? Y’all had one job
929822007482638336,C.the.X,411.656,"RT @novieverest: Peter Obi has been supporting Umza Rice, the biggest rice processing factory in Kano state.

So we have been benefitting f…"
2765460340,your daddy,Earth,RT @iSlimfit: “They say I am only qualified to be a VP because I understand the economy and I will handle the economy. I say the economy is…
179860993,Fego,"Lagos, Nigeria","RT @Makavelli275: With Peter Obi’s plans for the North as a region, Northerners would be the biggest beneficiaries of his administration, i…"
1393563317822754816,Egbụnịke,,"RT @Chimaobibanks: ""Nigeria is in coma and it needs a specialist"".  - Peter Obi 

#arisetv 
#PeterObiForPresident2023"
3375331552,Badung Samson,"Jos, Nigeria","RT @Chude__: ""They said I'm qualified to be the Vice President bcuz of my knowledge of the economy. But Nigeria's problem is the economy. W…"
1374031056660221953,freegiver,"London, England","@adeyanjudeji You started the bullying, maybe you think Peter Obi will pay buy you are disappointed https://t.co/6PMmfW8IwR"
1359200179535118339,OGIDE LYON,,"RT @Anayo_Ella: Peter Obi responding to Buba Galadima and Kwankwaso saying he should accept to be the vice president. PO answered, ""why sho…"
2698186960,Grey Soul ♈,,"RT @UchePOkoye: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, in Kano State in 2019.

This is the biggest rice milling fa…"
838119752824459266,SPORTS STORES,"Lagos, Nigeria","RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
1513147199785517059,Josiah Chijioke,Nigeria,"RT @iamchrisani: Omo Peter Obi got our warning about not apologizing again , this lady on arisetv just asked him about his supporters that…"
1487444058066857997,Buchiano,"Lagos, Nigeria",RT @PillzMadaki: Peter Obi already knows his supporters aren't violent as it's been misconstrued. He knew his opponents pays thugs on and o…
4695667813,Avp ⭐,trenches,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
2418101433,Toni.,DEVIL'S ANUS: Nigeria.,"RT @Chude__: ""The comments from My Elder brother Kwankwaso is why we are where we are today, we vote for Incompetence based on the Primitiv…"
809267806587994112,Uchiha.,Nemeton,RT @Elkrosmediahub: Fok whatever you think. Nigeria will be lucky to have Peter Gregory Obi as president!!!!
328515060,Samuel Duke,Singapore. ,"RT @AlRaheemmuhd: "" The vast land in The North should be farms, while Kano and Kaduna become a processing hubs and that's what I want to do…"
1069734050301128705,Adetunji Abubakar Balogun,"Lagos, Nigeria","RT @Anayo_Ella: Peter Obi responding to Buba Galadima and Kwankwaso saying he should accept to be the vice president. PO answered, ""why sho…"
1409603719285690379,Obinna 'Nwaboy' Obi,"Abuja, Nigeria","RT @iaustineo: Peter Obi's Arise TV interview today&gt;&gt;&gt;&gt;&gt;&gt;

Didn't even want it to end.. I actually lost track of time. Wow!"
1175489837362831360,@Angie_123,Nigeria,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
1339202751880974336,Anyanwututu🌻,,"RT @firstladyship: I am building a team of competent Nigerians. I want those who can look at me in the face &amp; say; “Mr President, you are w…"
3964365976,Peter Azange,"Jos,Nigeria.",@GodwOnivehu @renoomokri Obi is the next President of Nigeria. That's the good news for you. Become Obi-dient and stop celebrating corruption. #PeterObi4President2023
1514012081661648902,Kaycee Morgan,"Lagos, Nigeria","RT @Sadiqsans: @PeterObi is their greatest nightmare, even to those politicians that think they’re the landlords in the north. 

The accept…"
1245790816741842944,Water,Nigeria,RT @BBCWorld: Peter Obi: The Labour Party candidate electrifying young Nigerians https://t.co/ToPte7Iz3y
258731913,Ik,Port harcourt 🇳🇬,RT @adaigbo_2022: Some of us are hide inside office restroom streaming Peter Obi's interview on Arise TV. 😂😂😂😂😂😂 E choke!! 😁😁😁
137882610,Bu-ike,Where Angels fear to thread,"RT @tosinunited: Peter Obi goes to National TV to discuss National issues, others go there to discuss Peter Obi…. Peter Obi is a different…"
966964254069919744,Peter obi’s suitcase 😜,Space ,RT @Kenny_oka4: Peter Obi is that Guy. He is levels above  every candidate. EVERY SINGLE ONE
957761049046011904,Chocol8♥️,"Lekki, Nigeria","RT @firstladyship: Even Rufai, Rotus, Tundun of Arise TV crew, fell under Peter Obi’s spell on #TheMorningShow. Anyone that listen to Peter…"
1209430265690574848,Yunusa Ciroma,"Prague, Czech Republic","RT @iamobiemeka: When someone like Asari Dokubo is against Peter Obi, that will prove to you that Peter Obi is a thorn on the flesh of crim…"
1204771880458211329,WINNIEˢᵀ 🔱,Heaven and Brekete Kingdom ,"RT @OBIdient_FC: Peter Obi on Arise TV 

""The comments from Kwankwaso is why we are where we are today, we vote for Incompetence based on t…"
1039103269375811585,Isaiah Emuze,"Lagos, Nigeria",RT @urchilla01: Over 20k people tuned in live to watch Peter Obi on @ARISEtv this morning. He dealt with every issue raised. He did not pol…
1524174144488808449,Enoch Nankre,,"RT @sweetestshuga: Started the day with a mind romance with Peter Obi on Arise. Baba is deep and insha Allah will be our president 2023.
#O…"
942395971270594560,Olusegun,United Kingdom,RT @peter_pentane: It's not making sense if it's not Peter Obi. ✊🇳🇬 https://t.co/y78TSty5PF
52188807,Elder Crespo,,"RT @KelechiPhD: It is the way Peter Obi genuinely refers to Kwankwaso, Galadima and Wike as, ""my elder brother"" or ""my brother"", with a smi…"
1257592480192778241,motuluv💕💖 💡,Nigeria,"RT @AlRaheemmuhd: "" The vast land in The North should be farms, while Kano and Kaduna become a processing hubs and that's what I want to do…"
179860993,Fego,"Lagos, Nigeria","RT @AlRaheemmuhd: "" The vast land in The North should be farms, while Kano and Kaduna become a processing hubs and that's what I want to do…"
948632470202863616,💞D_EYES💞,"Vişeu de Jos, România",RT @Deborahgaji: Retweet if you believe Peter Obi will drive the country forward!
1155210100790812672,Amb. Emeka (Kagame's unadopted son),Paul Kagame Leadership Class,"RT @Sports_Doctor2: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, one of the biggest rice milling factory in Nigeria loca…"
1481540761778860038,Odili Chiejine Friday🌹🌹,"Warri, Nigeria","RT @UchePOkoye: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, in Kano State in 2019.

This is the biggest rice milling fa…"
140028479,Joy Uche-Kalu,Abuja,"RT @firstladyship: “If I am qualified to be Vice President, I am qualified to be the President.”

Peter Obi is the Real Nuggets on Arise TV…"
1223272867544076288,Firstson,Middle Of Nowhere,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
1171372542508113920,corexman,Scotland in Jesus name,@Iam_lordmayor I no dey sub again since I don tell glo customer care say na Peter obi i dey support
433677418,🇳🇬 from fry pan 2 fire,Nigeria,"RT @Anayo_Ella: Peter Obi responding to Buba Galadima and Kwankwaso saying he should accept to be the vice president. PO answered, ""why sho…"
1264512941543559169,ARIL CONTRACTORS,Lagos,"RT @chidiebereadams: To you guys that support other Presidential candidates, swear you don’t enjoy watching PETER OBI make sense every day…"
712232700,MANSHERRY of Ode_Remø,Global Village. ,"@Mannyfort2022 @PeterPsquare @PeterObi @ARISEtv Oh, you are the mad man Peter Obi was talking about.
🤣😂😂.

Your papa dey cursed in your erosion gupped village. https://t.co/VCDQHZXj1r"
1486435410653896705,Ms Chinonye,,"RT @IkukuomaC: Mr Peter Obi resounding response to Rabiu Kwankwaso "" His comments is the reason we have 100m Nigerians living in poverty ""…"
965112494795689984,David,Lagos ,Peter Obi is coming. https://t.co/XgDqmx7yTU
1320765321591066625,Kenneth Nnamdi Ani,,"RT @firstladyship: “If I am qualified to be Vice President, I am qualified to be the President.”

Peter Obi is the Real Nuggets on Arise TV…"
361282946,Chidi Vigour,,"RT @novieverest: Peter Obi has been supporting Umza Rice, the biggest rice processing factory in Kano state.

So we have been benefitting f…"
1104389752512495617,Chinedu,,"RT @adaigbo_2022: After watching Peter Obi's interview  this morning, once I get home, I will  kiss my PVC, dust it again. 😁😁😁"
179860993,Fego,"Lagos, Nigeria",RT @iamdjunik: Buhari doesn’t seem fazed by the happenings in Nigeria. His life ambition  as the President of Nigeria has been fulfilled. M…
2418101433,Toni.,DEVIL'S ANUS: Nigeria.,"RT @iam_paulash: Omojuwa did strong thing to Goodluck Jonathan, but these generation won’t let him getaway with Peter Obi, if you sneeze th…"
1337796199,Trap King 👑,Out of this world ,"RT @IkukuomaC: Mr Peter Obi resounding response to Rabiu Kwankwaso "" His comments is the reason we have 100m Nigerians living in poverty ""…"
843108186869694465,Oldrafiky,🌍,RT @temidayodaniel: Peter Obi is already looking for solutions to Nigeria’s problem even before officially becoming the President of Nigeri…
918545536613081089,General,"Lagos, Nigeria","RT @TheICIR: “The comments from my elder brother Kwankwaso is why we are where we are today, we vote for incompetence based on the primitiv…"
1544279577123504129,Recalibrate 9ja,Nigeria,RT @firstladyship: Kwankwaso’s statement is the reason more than 100m Nigerians are in poverty. Don’t vote for Peter Obi because he is from…
510380442,Querencia,Somewhere south of Utopia,"RT @Princenechecfr: Peter Obi makes supporting him very easy.
Facts Choke, Track Records over choke."
1239523560663797760,Mherzzy,,"RT @ChigozieIAlex: Yorubas have accepted Peter Obi,
Hausas have accepted Peter Obi,
Igbos have accepted Peter Obi,
Every other ethic group…"
1398601173339344898,#Istandwithethiopia,,"RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
411443262,NKO,Nigeria,"Am building a team, that team has to be formidable full of competent people just like my team in Anambra. I want those who can look in my face and say Mr President you’re wrong cos I don’t know it all. - Peter Obi on Arise Tv"
1391099191565463555,Chyke Okonkwo,Nigeria,"RT @vivadaraa: Peter obi is not the enemy of the North, APC is. Nothern Nigeria wake up from slumber #PeterObiForPresident2023"
1189877330602274816,Chicaqo,"Ondo, Nigeria","RT @Chude__: Nigeria problem is economy. So why do you want someone who has knowledge of the economy to be Vice? 

You want to use people w…"
2864614771,Royal Laurel #PETEROBI2023,"Houston, TX","RT @sweetestshuga: Started the day with a mind romance with Peter Obi on Arise. Baba is deep and insha Allah will be our president 2023.
#O…"
3086924619,Obi-dient Idara,Nigeria,"@AminuButish My Dad told me that he worked with Sunshine Batteries in Akwa Ibom State but today that firm is dead. It's sad that Nigeria has regressed this way. Peter Obi wants to serve &amp; change our country to a productive nation but ""blind"" people want to vote based on tribe &amp; religion."
119150332,achebe chinedu,in my space .,RT @firstladyship: Kwankwaso’s statement is the reason more than 100m Nigerians are in poverty. Don’t vote for Peter Obi because he is from…
1496906439381729282,Whyte Onuoha Dawid S J E,,"RT @biafra_daily: Breaking news: 2023 Election: Every body should get ready, Fulani  has Surrendered Nigeria, it’s now clear to them they w…"
1502451264864542720,Samuel,,RT @simon_ekpa: This evening live broadcast will focus on exposing @PeterObi PANDORA PAPERS &amp; the reason Peter Obi is contesting election a…
54635202,Uche,Nigeria,"RT @mavisikpeme: Watch how Dr Yusuf Datti Baba-Ahmed , Peter Obi ‘s could be VP called out President Buhari ‘s ineptitude ! 

A combo of co…"
1437686228460113925,T Babyy,Nigeria,RT @rudeboypsquare: Dear #OBIdients …. Peter Obi is live on @arisetv
1026738823835910144,The Pristine,The Metaverse.,"RT @iam_paulash: Omojuwa did strong thing to Goodluck Jonathan, but these generation won’t let him getaway with Peter Obi, if you sneeze th…"
290463817,OlaOluwa of Ogun West,"Port Harcourt, Abeokuta OGSG",RT @philip_famoye: I feel so much emotion while Peter Obi was talking this morning on Arise Tv. It 'l be painful for us not to have him as…
32209380,Angry Feminist,New Jersey,"RT @kobokolaugh: Gospel according to Peter Obo continues. 
Thank you so much for the love and support so far.
God bless you all, the minist…"
1474029629665157120,D' Royal Priesthoodעמנואל,,"@Chukwuy3m @Naija_PR Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe in &amp; don't even practice, just to win your hearts. If you want my manifesto, listen to me when I speak. Check my records as Governor."
2485113554,Big Jerris,🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,"RT @UchePOkoye: So you guys have heard it from Peter Obi, those who are asking why he didn't conduct local government elections can now see…"
879810105725915136,"Love, Olisemeka","Lagos, Nigeria",RT @urchilla01: Peter Obi on @ARISEtv addressing the allegations made by Mahdi Shehu that he made Northerners wear tags while he was Govern…
53500054,Obute Obute,,"RT @AlRaheemmuhd: "" The vast land in The North should be farms, while Kano and Kaduna become a processing hubs and that's what I want to do…"
137882610,Bu-ike,Where Angels fear to thread,RT @Shehusky: I watched Peter Obi on Arise TV and I just went to sleep as if I took sedative. The hope he gives sedated me. The hope be giv…
1100523919596052480,Jaynee,,"RT @urchilla01: Peter Obi said ""Nigerians Lo kan!""

I Stan my president ✊🏾"
1317399969108758528,Bolu Omo Ologo 7G,,"RT @Sports_Doctor2: On Arise Tv, Peter Obi talked about how he supported UMZA Rice, one of the biggest rice milling factory in Nigeria loca…"
884670459752701952,Possible Matthew,"Anambra, Nigeria","RT @urchilla01: Rufai: when are we going to see your manifesto? 

Peter Obi: ""I can hire professionals to write something I don't believe i…"
2765460340,your daddy,Earth,"RT @AfamDeluxo: Only Peter Obi is prepared to rescue Nigeria. 

He is the only Presidential candidate consistently speaking to Nigerians on…"
1364642517946368012,Lagos Realtor Yetunde Abisoye,the world at large,RT @Aka__Chukwu: @Makavelli275 He intends to transform the massive land in the North to an agric hub. Imagine the positive impact on northe…
